Theft_Status,Occurrence_Hour,Premises_Type,Bike_Cost,Region
1,0,Apartment,750,Downtown
1,10,Outside,400,Downtown
1,0,Commercial,600,Midtown
1,20,House,900,Toronto
1,20,Apartment,479,Downtown
1,9,Outside,800,Downtown
1,21,Outside,750,Downtown
1,20,Outside,100,Downtown
1,12,Outside,1800,Downtown
1,17,Outside,1100,Downtown
1,17,Outside,1600,Downtown
1,15,Outside,850,Downtown
1,18,Outside,400,Downtown
1,20,Commercial,2500,Toronto
1,20,Commercial,4000,Toronto
1,9,Outside,1700,Toronto
1,18,Outside,200,Downtown
1,19,House,500,Downtown
1,12,Outside,100,Downtown
1,20,Outside,0,Toronto
1,12,Apartment,250,Downtown
1,20,Other,1500,Downtown
1,9,Outside,2000,Downtown
1,10,Outside,500,Downtown
1,7,Other,2500,Toronto
1,20,Apartment,2200,Downtown
1,9,Outside,2000,Downtown
1,22,Commercial,500,Downtown
1,19,Outside,500,Scarborough
1,9,House,300,North York
1,13,Outside,895,Downtown
1,3,House,400,Toronto
1,3,House,300,Toronto
1,20,Commercial,0,Downtown
1,15,Outside,800,Downtown
1,18,House,2000,Toronto
1,17,Commercial,200,Toronto
1,0,Apartment,450,Toronto
1,10,House,1300,Toronto
0,16,Apartment,4000,North York
1,6,House,1000,Downtown
1,23,House,1300,Downtown
1,21,Outside,700,Downtown
1,18,Other,700,Toronto
1,13,Outside,550,Downtown
1,17,Other,400,Toronto
1,14,Educational,600,Downtown
1,14,Educational,719,Downtown
1,3,Outside,700,Downtown
1,11,Outside,4000,Downtown
1,11,Outside,40,Downtown
1,9,Other,827.950012207031,Toronto
1,18,Outside,600,Downtown
1,9,Other,883.150024414063,Toronto
1,13,Educational,750,Downtown
1,13,Outside,1000,Downtown
1,8,Apartment,500,Toronto
1,11,Outside,400,Downtown
1,19,Transit,600,Toronto
1,23,House,400,Toronto
1,23,House,860,Toronto
1,23,House,1000,Toronto
1,23,House,450,Toronto
0,12,Outside,300,North York
1,20,Educational,150,Downtown
1,20,Educational,2000,Downtown
1,18,Educational,100,Downtown
1,10,House,500,Toronto
1,2,House,465,Downtown
0,14,Outside,700,Downtown
1,16,House,649,Toronto
1,16,House,4319,Toronto
1,18,Other,1200,Scarborough
1,9,Outside,2000,Downtown
1,14,Outside,375,Downtown
1,19,Outside,237,North York
1,16,Commercial,160,Scarborough
1,11,Outside,300,Downtown
1,14,Educational,300,Toronto
1,17,Outside,700,Downtown
1,16,Commercial,500,Scarborough
1,12,Other,6000,Toronto
1,15,Educational,1200,Downtown
1,8,Other,300,Toronto
1,5,Commercial,1200,Downtown
1,6,Other,1400,Downtown
1,5,Commercial,1200,Downtown
1,22,Other,500,Downtown
1,7,Outside,1000,North York
1,23,House,500,Toronto
1,15,Outside,200,Toronto
1,17,Educational,305,Downtown
1,12,Apartment,700,Midtown
1,8,Educational,350,Downtown
1,8,Transit,1200,Midtown
1,18,House,400,Downtown
1,21,Outside,499.989990234375,Toronto
1,18,House,3264,Scarborough
1,9,Outside,200,Downtown
1,19,House,1100,Downtown
1,6,Other,750,Downtown
1,9,Outside,1400,Downtown
1,15,Outside,250,Downtown
1,11,Outside,600,Downtown
1,19,Apartment,250,Downtown
1,22,Educational,500,Downtown
1,18,House,130,Scarborough
1,9,Outside,500,Downtown
1,13,Educational,800,Downtown
1,23,Educational,355,Downtown
1,22,Commercial,600,Toronto
1,20,Outside,790.989990234375,Midtown
1,8,Apartment,200,Scarborough
1,12,Commercial,500,Downtown
1,13,Outside,750,Downtown
1,10,Educational,189,Downtown
1,9,Outside,700,Downtown
1,14,Outside,500,Toronto
